PC1,PC2,PC3,cohorte,tipo,grupo
-55.873535,9.679002,-45.63859,BRCA,tumor,tumor_BRCA
-40.84779,-49.875656,-69.925316,BRCA,tumor,tumor_BRCA
-50.884125,-47.84477,-55.876347,BRCA,tumor,tumor_BRCA
-69.50316,-16.335142,-45.520412,BRCA,tumor,tumor_BRCA
-59.491024,-3.1485593,-68.580025,BRCA,tumor,tumor_BRCA
-58.28334,-34.480415,-50.0943,BRCA,tumor,tumor_BRCA
-65.28665,-28.27007,-64.33802,BRCA,tumor,tumor_BRCA
-65.03087,-27.775133,-50.600708,BRCA,tumor,tumor_BRCA
-42.653748,-14.718166,-82.609985,BRCA,tumor,tumor_BRCA
-57.47478,-13.606637,-64.52253,BRCA,tumor,tumor_BRCA
-50.077553,-9.932893,-66.20616,BRCA,tumor,tumor_BRCA
-50.28103,8.843872,-54.966293,BRCA,tumor,tumor_BRCA
